expval,cluId,light,session,cellType
-0.009429712896712362,mn8599-25012022-0107_0,dark,mn8599-25012022-0107,fs
0.03446720615594471,mn8599-25012022-0107_7,dark,mn8599-25012022-0107,fs
0.001136166730182167,mn8599-25012022-0107_20,dark,mn8599-25012022-0107,fs
-0.012421009560937602,mn8599-25012022-0107_37,dark,mn8599-25012022-0107,fs
0.003585221392904485,mn8599-25012022-0107_73,dark,mn8599-25012022-0107,fs
-0.020004035149963743,mn8599-26012022-0107_18,light,mn8599-26012022-0107,fs
0.00032370269436989723,mn8599-26012022-0107_97,light,mn8599-26012022-0107,fs
-0.012719991408015927,mn8599-26012022-0107_140,light,mn8599-26012022-0107,fs
0.008312154812463463,mn8599-26012022-0107_18,dark,mn8599-26012022-0107,fs
-6.954526301700433e-05,mn8599-26012022-0107_97,dark,mn8599-26012022-0107,fs
-0.001303169765423731,mn8599-26012022-0107_140,dark,mn8599-26012022-0107,fs
-0.008872197484517109,mn8599-27012022-0107_6,light,mn8599-27012022-0107,fs
-0.01387034977435086,mn8599-27012022-0107_42,light,mn8599-27012022-0107,fs
0.0030856015357214354,mn8599-27012022-0107_6,dark,mn8599-27012022-0107,fs
-0.004261954086650853,mn8599-27012022-0107_42,dark,mn8599-27012022-0107,fs
0.01708952818353696,mn8599-28012022-0107_40,light,mn8599-28012022-0107,fs
-0.014264094047701197,mn8599-28012022-0107_41,light,mn8599-28012022-0107,fs
-0.0010070325567639574,mn8599-28012022-0107_42,light,mn8599-28012022-0107,fs
-0.02266495030546993,mn8599-28012022-0107_40,dark,mn8599-28012022-0107,fs
-0.02550205055837533,mn8599-28012022-0107_41,dark,mn8599-28012022-0107,fs
-0.018380141335195253,mn8599-28012022-0107_42,dark,mn8599-28012022-0107,fs
0.021457596520876022,mn8599-01022022-0108_4,light,mn8599-01022022-0108,fs
0.023457505623977963,mn8599-01022022-0108_66,light,mn8599-01022022-0108,fs
-0.0011914084224567037,mn8599-01022022-0108_209,light,mn8599-01022022-0108,fs
0.04777404170064169,mn8599-01022022-0108_244,light,mn8599-01022022-0108,fs
0.001113715940945821,mn8599-01022022-0108_4,dark,mn8599-01022022-0108,fs
0.015806317797969836,mn8599-01022022-0108_66,dark,mn8599-01022022-0108,fs
-0.015559293893384106,mn8599-01022022-0108_209,dark,mn8599-01022022-0108,fs
0.0043763233796842195,mn8599-01022022-0108_244,dark,mn8599-01022022-0108,fs
0.021538791947307765,mn8599-02022022-0107_5,light,mn8599-02022022-0107,fs
-0.0060002549692432065,mn8599-02022022-0107_59,light,mn8599-02022022-0107,fs
0.01445634860969609,mn8599-02022022-0107_95,light,mn8599-02022022-0107,fs
-0.014108194291087285,mn8599-02022022-0107_5,dark,mn8599-02022022-0107,fs
-0.024174298431307535,mn8599-02022022-0107_59,dark,mn8599-02022022-0107,fs
0.020449469032011367,mn8599-02022022-0107_95,dark,mn8599-02022022-0107,fs
-0.009855954029792753,mn8599-03022022-0107_61,light,mn8599-03022022-0107,fs
0.01996640178157694,mn8599-03022022-0107_75,light,mn8599-03022022-0107,fs
-0.00584634139541562,mn8599-03022022-0107_112,light,mn8599-03022022-0107,fs
-0.01770744349257555,mn8599-03022022-0107_61,dark,mn8599-03022022-0107,fs
0.0021975467812815593,mn8599-03022022-0107_75,dark,mn8599-03022022-0107,fs
-0.0016810626989316676,mn8599-03022022-0107_112,dark,mn8599-03022022-0107,fs
-0.0006836560665362591,mn8599-04022022-0107_5,light,mn8599-04022022-0107,fs
0.023001070506757215,mn8599-04022022-0107_96,light,mn8599-04022022-0107,fs
0.007716009656612457,mn8599-04022022-0107_5,dark,mn8599-04022022-0107,fs
0.0032342797362314283,mn8599-04022022-0107_96,dark,mn8599-04022022-0107,fs
0.01525025317265579,mn8599-08022022-0107_14,light,mn8599-08022022-0107,fs
0.02660258212101709,mn8599-08022022-0107_830,light,mn8599-08022022-0107,fs
0.044138871029835866,mn8599-08022022-0107_14,dark,mn8599-08022022-0107,fs
0.03201105288944084,mn8599-08022022-0107_830,dark,mn8599-08022022-0107,fs
-0.005754178355591029,mn8599-09022022-0107_19,light,mn8599-09022022-0107,fs
0.014869190604262417,mn8599-09022022-0107_96,light,mn8599-09022022-0107,fs
0.0150328318567687,mn8599-09022022-0107_191,light,mn8599-09022022-0107,fs
-0.005092093855437409,mn8599-09022022-0107_301,light,mn8599-09022022-0107,fs
-0.0024690808708143007,mn8599-09022022-0107_19,dark,mn8599-09022022-0107,fs
0.006252513345360204,mn8599-09022022-0107_96,dark,mn8599-09022022-0107,fs
0.020025170434682976,mn8599-09022022-0107_191,dark,mn8599-09022022-0107,fs
0.025539506681087204,mn8599-09022022-0107_301,dark,mn8599-09022022-0107,fs
-0.0033488150899454758,mn8599-10022022-0107_186,light,mn8599-10022022-0107,fs
0.010551959909378598,mn8599-10022022-0107_205,light,mn8599-10022022-0107,fs
0.002848309312545348,mn8599-10022022-0107_286,light,mn8599-10022022-0107,fs
-0.010280914430324741,mn8599-10022022-0107_313,light,mn8599-10022022-0107,fs
0.00860898449403568,mn8599-10022022-0107_336,light,mn8599-10022022-0107,fs
-0.0036780627256714103,mn8599-10022022-0107_186,dark,mn8599-10022022-0107,fs
0.023513919726849547,mn8599-10022022-0107_205,dark,mn8599-10022022-0107,fs
0.00036951636225270187,mn8599-10022022-0107_286,dark,mn8599-10022022-0107,fs
-0.017576060218416338,mn8599-10022022-0107_313,dark,mn8599-10022022-0107,fs
0.01734018981503821,mn8599-10022022-0107_336,dark,mn8599-10022022-0107,fs
0.020570926022650045,mn8599-11022022-0107_38,light,mn8599-11022022-0107,fs
0.0056653848502351235,mn8599-11022022-0107_71,light,mn8599-11022022-0107,fs
0.016769016833093876,mn8599-11022022-0107_84,light,mn8599-11022022-0107,fs
0.004584698421372027,mn8599-11022022-0107_100,light,mn8599-11022022-0107,fs
0.04689112844918738,mn8599-11022022-0107_120,light,mn8599-11022022-0107,fs
0.020560489696950932,mn8599-11022022-0107_164,light,mn8599-11022022-0107,fs
0.03164585656629322,mn8599-11022022-0107_38,dark,mn8599-11022022-0107,fs
0.007834679552432434,mn8599-11022022-0107_71,dark,mn8599-11022022-0107,fs
0.01529340962653673,mn8599-11022022-0107_84,dark,mn8599-11022022-0107,fs
0.04014550511122806,mn8599-11022022-0107_100,dark,mn8599-11022022-0107,fs
0.004152261401581283,mn8599-11022022-0107_120,dark,mn8599-11022022-0107,fs
-0.010702496917594348,mn8599-11022022-0107_164,dark,mn8599-11022022-0107,fs
-0.021250446123771544,mn8599-12022022-0107_366,light,mn8599-12022022-0107,fs
-0.030707995256055547,mn8599-12022022-0107_366,dark,mn8599-12022022-0107,fs
-0.028654006423570206,mn8599-14022022-0106_263,light,mn8599-14022022-0106,fs
-0.025034638975651387,mn8599-14022022-0106_263,dark,mn8599-14022022-0106,fs
0.025964054901962956,mn8599-15022022-0107_167,light,mn8599-15022022-0107,fs
0.009138238687151981,mn8599-15022022-0107_181,light,mn8599-15022022-0107,fs
-0.01857638755968066,mn8599-15022022-0107_422,light,mn8599-15022022-0107,fs
-0.02545242945775795,mn8599-15022022-0107_167,dark,mn8599-15022022-0107,fs
0.015894053974428064,mn8599-15022022-0107_181,dark,mn8599-15022022-0107,fs
-0.04323627551807438,mn8599-15022022-0107_422,dark,mn8599-15022022-0107,fs
-0.024879610436934006,mn8599-16022022-0107_66,light,mn8599-16022022-0107,fs
